timestamp,area_pixeles,temp_min,temp_max,temp_avg
1772662506.238886,947,45.0,166.0,101.79
1772662506.240971,1182,17.0,139.0,68.95
1772662506.240971,2959,45.0,176.0,121.75
1772662506.240971,2455,18.0,158.0,72.78
1772662506.2449098,1630,0.0,109.0,60.5
1772662506.4394789,1329,11.0,172.0,111.62
1772662506.6443026,2243,64.0,201.0,150.55
1772662506.6463099,986,55.0,198.0,149.25
1772662506.650322,1118,52.0,172.0,125.77
1772662506.6540782,4942,48.0,133.0,90.73
1772662506.6560874,2388,40.0,151.0,81.08
1772662506.6580958,1812,16.0,166.0,104.26
1772662506.6580958,1043,28.0,108.0,72.88
1772662506.7507205,1749,38.0,120.0,72.31
1772662506.7507205,1824,30.0,175.0,102.51
1772662506.7532904,2780,38.0,158.0,86.19
1772662506.7568283,2709,14.0,173.0,77.16
1772662506.7568283,5374,5.0,142.0,64.99
1772662506.7612503,4338,41.0,165.0,103.1
1772662506.7612503,2452,27.0,169.0,96.39
1772662506.8472316,1188,27.0,170.0,75.28
1772662506.8472316,1170,15.0,162.0,97.69
1772662506.853201,1562,18.0,149.0,69.85
1772662506.9507217,1948,15.0,142.0,75.82
1772662506.9595501,888,23.0,87.0,60.12
1772662506.9645793,1666,50.0,169.0,99.25
1772662506.9665883,2949,35.0,155.0,94.0
1772662506.9685965,2588,9.0,149.0,57.78
1772662506.9706042,7923,20.0,192.0,99.5
1772662507.038527,1623,34.0,163.0,106.43
1772662507.040535,1283,39.0,189.0,126.36
1772662507.044554,1568,16.0,141.0,57.88
1772662507.046563,1847,10.0,156.0,49.23
1772662507.1600943,1634,44.0,150.0,100.49
1772662507.1621,1072,41.0,150.0,90.18
1772662507.1653142,1545,30.0,171.0,104.68
1772662507.3355105,1326,51.0,166.0,106.75
1772662508.244024,1629,46.0,179.0,120.17
1772662508.244024,915,39.0,170.0,120.33
1772662508.244024,1306,4.0,154.0,81.11
1772662508.4375527,1419,35.0,167.0,112.44
1772662508.537022,806,26.0,149.0,81.5
1772662508.6554403,1047,41.0,173.0,122.42
1772662508.6592004,1607,15.0,154.0,75.43
1772662508.9388785,1124,46.0,179.0,126.57
1772662508.9449248,1215,50.0,173.0,123.34
1772662508.9469323,1842,15.0,156.0,73.3
1772662508.9489462,1362,0.0,106.0,55.81
1772662509.6450706,1628,0.0,158.0,75.13
1772662509.8541942,1658,3.0,171.0,115.68
1772662509.9501805,1251,16.0,182.0,116.08
1772662509.953105,1340,0.0,152.0,74.68
1772662510.1560426,1413,39.0,185.0,132.52
1772662510.1580513,1788,23.0,155.0,84.76
1772662510.249892,2350,15.0,155.0,61.45
1772662510.2522063,2059,13.0,170.0,90.86
1772662510.347025,800,7.0,171.0,118.1
1772662510.3497345,1603,37.0,170.0,109.17
1772662510.3517375,882,38.0,114.0,78.49
1772662510.9553235,1249,14.0,156.0,73.86
1772662511.7592905,1660,41.0,156.0,95.35
1772662511.8530667,5031,40.0,141.0,84.52
1772662511.855075,953,27.0,128.0,68.3
1772662511.8586016,3190,33.0,158.0,85.87
1772662511.949117,1050,44.0,113.0,73.88
1772662511.9501255,1078,29.0,163.0,75.9
1772662511.9501255,2466,7.0,136.0,52.09
1772662511.955006,3849,36.0,163.0,102.02
1772662511.955006,1504,34.0,166.0,103.56
1772662512.0596323,1061,68.0,201.0,144.19
1772662512.0616431,1383,30.0,167.0,77.87
1772662512.2358575,2047,60.0,140.0,96.87
1772662512.2358575,2456,37.0,131.0,90.25
1772662512.2358575,1429,33.0,99.0,62.2
1772662512.2358575,3483,22.0,150.0,74.73
1772662512.2559698,849,20.0,119.0,61.84
1772662512.2660754,2152,50.0,145.0,92.76
1772662512.2680855,1189,36.0,189.0,115.73
1772662512.2700953,2138,28.0,117.0,66.99
1772662512.2700953,819,52.0,149.0,108.63
1772662512.2741132,3557,16.0,142.0,62.3
1772662512.277647,1831,12.0,144.0,60.98
1772662512.3553014,950,25.0,106.0,59.09
1772662512.3590548,1381,33.0,188.0,120.83
1772662512.3610628,2540,33.0,155.0,90.96
1772662512.3711078,1045,10.0,112.0,55.69
1772662512.3751252,2657,34.0,152.0,91.15
1772662512.3786404,2110,9.0,170.0,116.17
1772662512.3806462,4718,11.0,170.0,82.13
1772662512.5573325,810,6.0,82.0,40.09
1772662512.559342,4475,38.0,134.0,84.34
1772662512.562441,802,27.0,165.0,79.57
1772662512.5642717,3350,27.0,161.0,90.89
1772662512.5662825,1278,29.0,159.0,100.42
1772662512.6450396,1391,42.0,120.0,74.41
1772662512.6522112,2061,22.0,147.0,87.45
1772662512.6546667,875,28.0,168.0,76.07
1772662512.6546667,3058,36.0,163.0,97.25
1772662512.6586368,4182,4.0,137.0,60.31
1772662512.6606455,1633,35.0,163.0,98.78
1772662512.8642287,1239,53.0,156.0,106.93
1772662512.9626563,1177,28.0,166.0,106.25
1772662512.9664357,810,28.0,123.0,58.56
1772662513.4658945,1625,48.0,150.0,102.68
1772662513.5616174,1504,68.0,198.0,161.54
1772662513.563979,993,69.0,184.0,135.16
1772662513.563979,1478,82.0,199.0,154.86
1772662513.563979,1292,10.0,140.0,70.95
1772662513.563979,2235,46.0,164.0,97.13
1772662513.563979,1280,43.0,184.0,119.11
1772662513.563979,2186,33.0,152.0,87.14
1772662513.5733657,4573,15.0,182.0,104.83
1772662513.5753741,3957,32.0,183.0,123.82
1772662513.6594346,868,42.0,169.0,118.63
1772662513.7566571,1469,46.0,185.0,126.08
1772662513.7566571,977,91.0,179.0,142.12
1772662513.7566571,1062,22.0,141.0,90.7
1772662513.7629762,1267,95.0,193.0,150.54
1772662513.7645967,1267,21.0,160.0,95.11
1772662513.7671378,2828,22.0,172.0,114.13
1772662513.7698224,2543,16.0,156.0,78.93
1772662513.8482265,1514,7.0,146.0,68.73
